note_num,start,end,name
69,100.0,100.5,A
69,110.75,110.875,A
69,116.5,118.0,A
69,121.25,122.5,A
69,123.75,124.0,A
69,124.0,124.5,A
69,125.5,125.75,A
69,127.25,127.5,A
69,127.75,128.0,A
69,128.5,128.75,A
69,130.25,130.5,A
69,130.75,131.0,A
69,132.75,133.0,A
69,138.75,139.0,A
69,140.25,140.5,A
69,144.0,145.0,A
69,145.0,146.25,A
69,146.25,146.375,A
69,148.0,148.5,A
69,158.75,158.875,A
69,164.5,166.0,A
69,169.25,170.5,A
69,171.75,172.0,A
69,172.0,172.5,A
69,173.5,173.75,A
69,175.25,175.5,A
69,175.75,176.0,A
69,176.5,176.75,A
69,178.25,178.5,A
69,178.75,179.0,A
69,180.75,181.0,A
69,186.75,187.0,A
69,188.25,188.5,A
71,16.0,16.25,B
71,21.0,21.125,B
71,24.0,25.0,B
71,25.0,26.0,B
71,27.5,27.75,B
71,30.0,31.0,B
71,38.625,38.75,B
71,39.0,39.25,B
71,42.5,42.75,B
71,43.5,44.5,B
71,64.0,64.25,B
71,69.0,69.125,B
71,72.0,73.0,B
71,73.0,74.0,B
71,75.5,75.75,B
71,78.0,79.0,B
71,86.625,86.75,B
71,87.0,87.25,B
71,90.5,90.75,B
71,91.5,92.5,B
71,98.375,98.5,B
71,99.75,100.0,B
71,107.5,108.0,B
71,110.25,110.5,B
71,110.625,110.75,B
71,110.875,111.0,B
71,116.0,116.5,B
71,121.0,121.25,B
71,122.5,122.75,B
71,123.25,123.5,B
71,123.625,123.75,B
71,125.75,126.0,B
71,126.75,127.0,B
71,128.25,128.5,B
71,129.75,130.0,B
71,132.0,132.25,B
71,132.5,132.75,B
71,133.0,133.25,B
71,134.0,134.25,B
71,138.5,138.75,B
71,139.0,139.25,B
71,140.0,140.25,B
71,146.375,146.5,B
71,147.75,148.0,B
71,155.5,156.0,B
71,158.25,158.5,B
71,158.625,158.75,B
71,158.875,159.0,B
71,164.0,164.5,B
71,169.0,169.25,B
71,170.5,170.75,B
71,171.25,171.5,B
71,171.625,171.75,B
71,173.75,174.0,B
71,174.75,175.0,B
71,176.25,176.5,B
71,177.75,178.0,B
71,180.0,180.25,B
71,180.5,180.75,B
71,181.0,181.25,B
71,182.0,182.25,B
71,186.5,186.75,B
71,187.0,187.25,B
71,188.0,188.25,B
72,15.75,16.0,C
72,19.625,20.0,C
72,20.0,20.375,C
72,20.75,21.0,C
72,38.75,39.0,C
72,63.75,64.0,C
72,67.625,68.0,C
72,68.0,68.375,C
72,68.75,69.0,C
72,86.75,87.0,C
72,98.5,98.625,C
72,99.5,99.75,C
72,110.5,110.625,C
72,115.5,116.0,C
72,120.75,121.0,C
72,122.75,123.0,C
72,123.125,123.25,C
72,123.5,123.625,C
72,126.0,126.25,C
72,126.5,126.75,C
72,127.0,127.25,C
72,128.0,129.25,C
72,129.5,129.75,C
72,130.0,130.25,C
72,131.0,131.25,C
72,131.75,132.0,C
72,132.25,132.5,C
72,134.5,134.75,C
72,136.25,136.5,C
72,136.75,137.0,C
72,137.25,138.0,C
72,138.25,138.5,C
72,139.25,139.5,C
72,146.5,146.625,C
72,147.5,147.75,C
72,158.5,158.625,C
72,163.5,164.0,C
72,168.75,169.0,C
72,170.75,171.0,C
72,171.125,171.25,C
72,171.5,171.625,C
72,174.0,174.25,C
72,174.5,174.75,C
72,175.0,175.25,C
72,176.0,177.25,C
72,177.5,177.75,C
72,178.0,178.25,C
72,179.0,179.25,C
72,179.75,180.0,C
72,180.25,180.5,C
72,182.5,182.75,C
72,184.25,184.5,C
72,184.75,185.0,C
72,185.25,186.0,C
72,186.25,186.5,C
72,187.25,187.5,C
73,26.0,26.75,C#
73,27.25,27.5,C#
73,34.0,35.5,C#
73,40.75,41.625,C#
73,42.25,42.5,C#
73,44.5,45.0,C#
73,45.0,45.25,C#
73,45.875,46.0,C#
